sch_id,sch_link,reltype,useAtSch,wd_id,wd_link,wd_label,wd_stability,Endorse,Disagree,Doubt,comments,EndorsedAction,
Beach,LINK,equivClass,,Q40080,LINK,beach,high,"gcpdev, marcelomachado",,,,,
BeautySalon,LINK,equivClass,,Q1195245,LINK,beauty salon,medium,"gcpdev, marcelomachado",,,,,
BedAndBreakfast,LINK,equivClass,,Q367914,LINK,bed and breakfast,high,"gcpdev, valexiev, marcelomachado",,,,,
birthDate,LINK,equivProp,,P569,LINK,date of birth,,"gcpdev, marcelomachado",,,,,
birthPlace,LINK,equivProp,,P19,LINK,place of birth,,"gcpdev, marcelomachado",,,,,
Blog,LINK,equivClass,,Q30849,LINK,blog,,joraojr,,,SC: No description,,
BlogPosting,LINK,equivClass,,Q17928402,LINK,blog post,,joraojr,,,SC: No description,,
BloodTest,LINK,equivClass,,Q27166236,LINK,blood test,,,,,is not in the schema.org core vocabulary,,
BodyOfWater,LINK,equivClass,,Q15324,LINK,body of water,,joraojr,,,,,
Bone,LINK,equivClass,,Q265868,LINK,bone,,,,,is not in the schema.org core vocabulary,,
Book,LINK,equivClass,,Q571,LINK,book,,joraojr,,,SC: No description,,
Book,LINK,exactMatch,,Q571,LINK,book,,joraojr,,,SC: No description,,
BookSeries,LINK,equivClass,,Q277759,LINK,book series,,joraojr,,,,,
BookStore,LINK,equivClass,,Q200764,LINK,bookstore,,,,joraojr,SC: No description,,
Boolean,LINK,equivClass,,Q520777,LINK,Boolean data type,,joraojr,,,SC:Very specific,,
BowlingAlley,LINK,equivClass,,Q27106471,LINK,bowling alley,,,,joraojr,SC: No description,,
BrainStructure,LINK,exactMatch,,Q1073,LINK,brain,,,,,is not in the schema.org core vocabulary,,
Brand,LINK,equivClass,,Q431289,LINK,brand,,joraojr,,,,,
brand,LINK,equivProp,,P1716,LINK,brand,,joraojr,,,,,
Brewery,LINK,equivClass,,Q131734,LINK,brewery,,joraojr,,,SC: No description,,
Bridge,LINK,equivClass,,Q12280,LINK,bridge,,valexiev,,joraojr,SC: No description,,
broadcastChannelId,LINK,equivProp,,P3970,LINK,channel number,,valexiev,joraojr,,WD sub of SC,,
BuddhistTemple,LINK,equivClass,,Q5393308,LINK,Buddhist temple,,valexiev,,joraojr,SC: No description,,
BusOrCoach,LINK,equivClass,,Q5638,LINK,bus,,,,,is not in the schema.org core vocabulary,,
BusStation,LINK,equivClass,,Q494829,LINK,bus station,,valexiev,,joraojr,SC: No description,,
BusStop,LINK,equivClass,,Q953806,LINK,bus stop,,valexiev,,,,,
byArtist,LINK,equivProp,,P175,LINK,performer,,valexiev,,,,,
CafeOrCoffeeShop,LINK,equivClass,,Q30022,LINK,cafe,,valexiev,,,,,
Campground,LINK,equivClass,,Q27108230,LINK,campground,,valexiev,,,,,
CampingPitch,LINK,equivClass,,Q832778,LINK,campsite,,valexiev,,,,,
Canal,LINK,equivClass,,Q12284,LINK,canal,,valexiev,,,,,
Car,LINK,equivClass,,Q1144312,LINK,car,,diegomoussallem,,,,,
Casino,LINK,equivClass,,Q133215,LINK,casino,,diegomoussallem,,,,,
CatholicChurch,LINK,equivClass,,Q1088552,LINK,Catholic church,,diegomoussallem,,,,,
Cemetery,LINK,equivClass,,Q39614,LINK,cemetery,,diegomoussallem,,,,,
Chapter,LINK,equivClass,,Q1980247,LINK,chapter,,diegomoussallem,,,,,
character,LINK,equivProp,,P674,LINK,characters,,diegomoussallem,,,,,
ChildCare,LINK,equivClass,,Q27008444,LINK,Childcare center,,diegomoussallem,,,,,
children,LINK,equivProp,,P40,LINK,child,,diegomoussallem,,,,,
Church,LINK,equivClass,,Q16970,LINK,church,,,,diegomoussallem,too restrict to christianism ,,
citation,LINK,equivProp,,P2860,LINK,cites,,diegomoussallem,,,,,
City,LINK,equivClass,,Q515,LINK,city,,diegomoussallem,,,,,
CityHall,LINK,equivClass,,Q543654,LINK,seat of local government,,diegomoussallem,,,,,
colleague,LINK,exactMatch,,Q18029574,LINK,colleague,,,,diegomoussallem,WD does not say anything about relationship,,
Collection,LINK,equivClass,,Q2668072,LINK,collection,,,diegomoussallem,,description does not match,,
Collection,LINK,exactMatch,,P195,LINK,collection,,,diegomoussallem,,description does not match,,
