sch_id,sch_link,reltype,useAtSch,wd_id,wd_link,wd_label,wd_stability,Endorse,Disagree,Doubt,comments,EndorsedAction,
Message,LINK,equivClass,,Q628523,LINK,message,,diegomoussallem,,,,,
MiddleSchool,LINK,equivClass,,Q149566,LINK,middle school,,diegomoussallem,,,,,
Midwifery,LINK,equivClass,,Q20862341,LINK,midwifery,,diegomoussallem,,,,,
MobileApplication,LINK,equivClass,,Q620615,LINK,mobile app,,diegomoussallem,,,,,
Mosque,LINK,equivClass,,Q32815,LINK,mosque,,diegomoussallem,,,,,
Motel,LINK,equivClass,,Q216212,LINK,motel,,,diegomoussallem,,WD is a moto hotel,,
Motorcycle,LINK,equivClass,,Q34493,LINK,motorcycle,,diegomoussallem,,,,,
Mountain,LINK,equivClass,,Q8502,LINK,mountain,,diegomoussallem,,,,,
Movie,LINK,equivClass,,Q11424,LINK,film,,diegomoussallem,,,,,
MovieTheater,LINK,equivClass,,Q41253,LINK,movie theater,,diegomoussallem,,,,,
MovingCompany,LINK,equivClass,,Q1757263,LINK,moving company,,diegomoussallem,,,,,
Muscle,LINK,equivClass,,Q7365,LINK,muscle,,diegomoussallem,,,,,
Museum,LINK,equivClass,,Q33506,LINK,museum,,diegomoussallem,,,,,
MusicAlbum,LINK,equivClass,,Q482994,LINK,album,,diegomoussallem,,,,,
musicBy,LINK,equivProp,,P86,LINK,composer,,diegomoussallem,,,,,
MusicComposition,LINK,equivClass,,Q207628,LINK,musical composition,,diegomoussallem,,,,,
MusicGroup,LINK,equivClass,,Q215380,LINK,band,,diegomoussallem,,,,,
MusicPlaylist,LINK,equivClass,,Q1569406,LINK,playlist,,diegomoussallem,,,,,
MusicRelease,LINK,equivClass,,Q2031291,LINK,release,,diegomoussallem,,,,,
MusicVenue,LINK,equivClass,,Q8719053,LINK,music venue,,diegomoussallem,,,,,
NailSalon,LINK,equivClass,,Q8007048,LINK,Nail salon,,diegomoussallem,,,,,
name,LINK,equivProp,,P1476,LINK,title,,diegomoussallem,,,,,
name,LINK,equivProp,,P2561,LINK,name,,diegomoussallem,,,,,
name,LINK,exactMatch,,Q82799,LINK,name,,diegomoussallem,,,,,
nationality,LINK,equivProp,,P27,LINK,country of citizenship,,diegomoussallem,,,,,
Nerve,LINK,equivClass,,Q9620,LINK,nerve,,diegomoussallem,,,,,
NewsArticle,LINK,equivClass,,Q5707594,LINK,news article,,diegomoussallem,,,,,
Newspaper,LINK,equivClass,,Q11032,LINK,newspaper,,diegomoussallem,,,,,
NGO,LINK,equivClass,,Q79913,LINK,non-governmental organization,,diegomoussallem,,,,,
NightClub,LINK,equivClass,,Q622425,LINK,nightclub,,diegomoussallem,,,,,
Notary,LINK,equivClass,,Q189010,LINK,notary,,,diegomoussallem,,Schema considers only persons,,
Number,LINK,equivClass,,Q11563,LINK,number,,diegomoussallem,,,,,
numberOfEmployees,LINK,equivProp,,P1128,LINK,employees,,diegomoussallem,,,,,
numberOfEpisodes,LINK,equivProp,,P1113,LINK,number of episodes,,diegomoussallem,,,,,
numberOfPages,LINK,equivProp,,P1104,LINK,number of pages,,diegomoussallem,,,,,
numberOfSeasons,LINK,equivProp,,P2437,LINK,number of seasons,,diegomoussallem,,,,,
Nursing,LINK,equivClass,,Q121176,LINK,nursing,,diegomoussallem,,,,,
NutritionInformation,LINK,equivClass,,Q2006410,LINK,nutrition information,,diegomoussallem,,,,,
object,LINK,exactMatch,,Q17553950,LINK,object,,diegomoussallem,,,,,
Obstetric,LINK,equivClass,,Q5284418,LINK,obstetrics,,diegomoussallem,,,,,
OccupationalTherapy,LINK,equivClass,,Q380141,LINK,occupational therapy,,diegomoussallem,,,,,
OceanBodyOfWater,LINK,equivClass,,Q9430,LINK,ocean,,diegomoussallem,,,,,
Oncologic,LINK,equivClass,,Q162555,LINK,oncology,,diegomoussallem,,,,,
operatingSystem,LINK,exactMatch,,Q9135,LINK,operating system,,diegomoussallem,,,,,
Optician,LINK,equivClass,,Q1996635,LINK,optician,,diegomoussallem,,,,,
Optometric,LINK,equivClass,,Q618211,LINK,optometry,,diegomoussallem,,,,,
Organization,LINK,equivClass,,Q43229,LINK,organization,,diegomoussallem,,,,,
OutletStore,LINK,equivClass,,Q76470,LINK,outlet store,,diegomoussallem,,,,,
owns,LINK,equivProp,,P1830,LINK,owner of,,diegomoussallem,,,,,
pagination,LINK,exactMatch,,Q783209,LINK,pagination,,,,diegomoussallem,I'm not sure if it is an exact match,,
Painting,LINK,equivClass,,Q3305213,LINK,painting,,diegomoussallem,,,,,
PalliativeProcedure,LINK,equivClass,,Q27165812,LINK,palliative procedure,,diegomoussallem,,,,,
parent,LINK,superProp,,P22,LINK,father,,diegomoussallem,,,,,
parent,LINK,superProp,,P25,LINK,mother,,diegomoussallem,,,,,
parentOrganization,LINK,equivProp,,P749,LINK,parent organization,,diegomoussallem,,,,,
Park,LINK,equivClass,,Q22698,LINK,park,,diegomoussallem,,,,,
ParkingFacility,LINK,equivClass,,Q27119725,LINK,parking facility,,diegomoussallem,,,,,
participant,LINK,equivProp,,P710,LINK,participant,,diegomoussallem,,,,,
participant,LINK,exactMatch,,P710,LINK,participant,,diegomoussallem,,,,,
Patient,LINK,equivClass,,Q181600,LINK,patient,,diegomoussallem,,,,,
PawnShop,LINK,equivClass,,Q27108122,LINK,pawn shop,,diegomoussallem,,,,,
PaymentCard,LINK,equivClass,,Q1436963,LINK,payment card,,,diegomoussallem,,WD refers to a device,,
PaymentMethod,LINK,equivClass,,Q1912682,LINK,payment method,,diegomoussallem,,,,,
PerformingArtsTheater,LINK,equivClass,,Q24354,LINK,theater,,diegomoussallem,,,,,
Periodical,LINK,equivClass,,Q41298,LINK,magazine,,diegomoussallem,,,,,
Permit,LINK,equivClass,,Q79719,LINK,license,,diegomoussallem,,,,,
Person,LINK,equivClass,,Q215627,LINK,person,,diegomoussallem,,,,,
Person,LINK,equivClass,,Q5,LINK,human,,diegomoussallem,,,,,
PetStore,LINK,equivClass,,Q220142,LINK,pet store,,diegomoussallem,,,,,
Pharmacy,LINK,equivClass,,Q13107184,LINK,community pharmacy,,,diegomoussallem,,WD should be a subproperty,,
Photograph,LINK,equivClass,,Q125191,LINK,photograph,,diegomoussallem,,,,,
PhysicalExam,LINK,equivClass,,Q835153,LINK,medical examination,,diegomoussallem,,,,,
PhysicalTherapy,LINK,equivClass,,Q186005,LINK,physiotherapy,,diegomoussallem,,,,,
Physician,LINK,equivClass,,Q39631,LINK,physician,,,diegomoussallem,,WD refers to person while Schema to organizations,,
Physician,LINK,exactMatch,,Q39631,LINK,physician,,,diegomoussallem,,WD refers to person while Schema to organizations,,
Physiotherapy,LINK,equivClass,,Q186005,LINK,physiotherapy,,diegomoussallem,,,,,
Place,LINK,equivClass,,Q2221906,LINK,geographical point,,diegomoussallem,,,,,
PlaceOfWorship,LINK,equivClass,,Q1370598,LINK,place of worship,,diegomoussallem,,,,,
PlasticSurgery,LINK,equivClass,,Q182442,LINK,plastic surgery,,diegomoussallem,,,,,
Playground,LINK,equivClass,,Q13607440,LINK,playground,,diegomoussallem,,,,,
Plumber,LINK,equivClass,,Q252924,LINK,plumber,,,diegomoussallem,,WD refers to a profession while Schema place or organisation,,
Podiatric,LINK,equivClass,,Q18011356,LINK,podiatry,,diegomoussallem,,,,,
PoliceStation,LINK,equivClass,,Q861951,LINK,police station,,diegomoussallem,,,,,
Pond,LINK,equivClass,,Q3253281,LINK,pond,,diegomoussallem,,,,,
position,LINK,equivProp,,P1545,LINK,series ordinal,,diegomoussallem,,,,,
PostalAddress,LINK,equivClass,,Q319608,LINK,address,,,diegomoussallem,,WD could be a subproperty,,
PostOffice,LINK,equivClass,,Q35054,LINK,post office,,diegomoussallem,,,,,
Preschool,LINK,equivClass,,Q1076052,LINK,preschool,,diegomoussallem,,,,,
PrimaryCare,LINK,equivClass,,Q3259956,LINK,primary care,,diegomoussallem,,,,,
producer,LINK,equivProp,,P162,LINK,producer,,diegomoussallem,,,,,
Product,LINK,equivClass,,Q2424752,LINK,product,,diegomoussallem,,,,,
ProductModel,LINK,equivClass,,Q17444171,LINK,model,,,diegomoussallem,,it is not equivalent,,
ProfessionalService,LINK,equivClass,,Q2029911,LINK,professional services,,diegomoussallem,,,,,
provider,LINK,equivProp,,P176,LINK,manufacturer,,diegomoussallem,,,,,
provider,LINK,exactMatch,,Q2169973,LINK,service provider,,diegomoussallem,,,,,
Psychiatric,LINK,equivClass,,Q7867,LINK,psychiatry,,sandroacoelho,,,,,
PsychologicalTreatment,LINK,equivClass,,Q27166103,LINK,psychological treatment,,sandroacoelho,,,,,
PublicationVolume,LINK,equivClass,,Q19816504,LINK,volume,,sandroacoelho,,,,,
PublicHealth,LINK,equivClass,,Q189603,LINK,public health,,sandroacoelho,,,,,
PublicSwimmingPool,LINK,equivClass,,Q27106886,LINK,public swimming pool,,sandroacoelho,,,,,
PublicToilet,LINK,equivClass,,Q813966,LINK,public toilet,,sandroacoelho,,,,,
publisher,LINK,equivProp,,P123,LINK,publisher,,sandroacoelho,,,,,
Quantity,LINK,equivClass,,Q614112,LINK,value,,sandroacoelho,,,,,
Question,LINK,equivClass,,Q189756,LINK,question,,sandroacoelho,,,,,
question,LINK,exactMatch,,Q189756,LINK,question,,sandroacoelho,,,,,
Quotation,LINK,equivClass,,Q206287,LINK,quotation,,sandroacoelho,,,,,
RadiationTherapy,LINK,equivClass,,Q180507,LINK,radiation therapy,,sandroacoelho,,,,,
RadioSeries,LINK,equivClass,,Q14623351,LINK,radio series,,sandroacoelho,,,,,
RadioStation,LINK,equivClass,,Q14350,LINK,radio station,,sandroacoelho,,,,,
RealEstateAgent,LINK,equivClass,,Q519076,LINK,real estate broker,,,sandroacoelho,,,,
Recipe,LINK,equivClass,,Q219239,LINK,recipe,,sandroacoelho,,,,,
recipient,LINK,exactMatch,,Q1339255,LINK,receiver,,,sandroacoelho,,,,
recordedAt,LINK,equivProp,,P483,LINK,recorded at,,sandroacoelho,,,,,
RecyclingCenter,LINK,equivClass,,Q27106436,LINK,recycling center,,sandroacoelho,,,,,
Report,LINK,equivClass,,Q10870555,LINK,report,,sandroacoelho,,,,,
Residence,LINK,equivClass,,Q27150063,LINK,residence,,sandroacoelho,,,,,
Resort,LINK,equivClass,,Q875157,LINK,resort,,sandroacoelho,,,,,
RespiratoryTherapy,LINK,equivClass,,Q19776279,LINK,respiratory therapy,,sandroacoelho,,,,,
Restaurant,LINK,equivClass,,Q11707,LINK,restaurant,,sandroacoelho,,,,,
result,LINK,exactMatch,,Q2995644,LINK,result,,sandroacoelho,,,,,
Review,LINK,equivClass,,Q265158,LINK,review,,sandroacoelho,,,,,
reviewedBy,LINK,equivProp,,P4032,LINK,reviewed by,,sandroacoelho,,,,,
reviewRating,LINK,equivProp,,P444,LINK,review score,,sandroacoelho,,,,,
RiverBodyOfWater,LINK,equivClass,,Q4022,LINK,river,,sandroacoelho,,,,,
Role,LINK,equivClass,,P2868,LINK,subject has role,,sandroacoelho,,,,,
Role,LINK,equivClass,,Q214339,LINK,role,,sandroacoelho,,,,,
roleName,LINK,equivProp,,P453,LINK,character role,,,sandroacoelho,,,,
RoofingContractor,LINK,equivClass,,Q27057193,LINK,Roofing contractor,,sandroacoelho,,,,,
Room,LINK,equivClass,,Q180516,LINK,room,,sandroacoelho,,,,,
RVPark,LINK,equivClass,,Q1424620,LINK,RV park,,sandroacoelho,,,,,
sameAs,LINK,equivProp,,P2888,LINK,exact match,,,,sandroacoelho,,,
sameAs,LINK,equivProp,,P460,LINK,said to be the same as,,,,sandroacoelho,,,
ScholarlyArticle,LINK,equivClass,,Q13442814,LINK,scientific article,,,sandroacoelho,,,,
ScholarlyArticle,LINK,exactMatch,,Q13442814,LINK,scientific article,,,sandroacoelho,,,,
School,LINK,equivClass,,Q3914,LINK,school,,sandroacoelho,,,,,
screenshot,LINK,exactMatch,,Q27003071,LINK,screenshot,,sandroacoelho,,,,,
Sculpture,LINK,equivClass,,Q860861,LINK,sculpture,,,,sandroacoelho,,,
SeaBodyOfWater,LINK,equivClass,,Q165,LINK,sea,,sandroacoelho,,,,,
Seat,LINK,equivClass,,Q2731419,LINK,seat,,,sandroacoelho,,,,
seatingType,LINK,subProp,,Q2731419,LINK,seat,,,sandroacoelho,,,,
seatNumber,LINK,subProp,,Q2731419,LINK,seat,,sandroacoelho,,,,,
seatRow,LINK,subProp,,Q2731419,LINK,seat,,,sandroacoelho,,,,
seatSection,LINK,subProp,,Q2731419,LINK,seat,,,sandroacoelho,,,,
SelfStorage,LINK,equivClass,,Q401404,LINK,Self storage,,sandroacoelho,,,,,
Series,LINK,equivClass,,Q20937557,LINK,series,,,sandroacoelho,,,,
Service,LINK,equivClass,,Q7406919,LINK,service,,sandroacoelho,,,,,
ShoeStore,LINK,equivClass,,Q7500021,LINK,Shoe store,,sandroacoelho,,,,,
ShoppingCenter,LINK,equivClass,,Q11315,LINK,shopping mall,,sandroacoelho,,,,,
SingleRelease,LINK,equivClass,,Q134556,LINK,single,,,sandroacoelho,,,,
SkiResort,LINK,equivClass,,Q130003,LINK,ski resort,,sandroacoelho,,,,,
SoftwareApplication,LINK,equivClass,,Q166142,LINK,application,,sandroacoelho,,,,,
SoftwareSourceCode,LINK,equivClass,,Q128751,LINK,source code,,sandroacoelho,,,,,
softwareVersion,LINK,exactMatch,,Q11328494,LINK,version,,,sandroacoelho,,,,
SoundtrackAlbum,LINK,exactMatch,,P406,LINK,soundtrack album,,sandroacoelho,,,,,
Specialty,LINK,exactMatch,,P101,LINK,field of work,,sandroacoelho,,,,,
sponsor,LINK,equivProp,,P859,LINK,sponsor,,sandroacoelho,,,,,
sponsor,LINK,exactMatch,,Q152478,LINK,sponsor,,sandroacoelho,,,,,
SportsOrganization,LINK,equivClass,,Q4438121,LINK,sports organization,,sandroacoelho,,,,,
SportsTeam,LINK,equivClass,,Q12973014,LINK,sports team,,sandroacoelho,,,,,
spouse,LINK,equivProp,,P26,LINK,spouse,,sandroacoelho,,,,,
StadiumOrArena,LINK,equivClass,,Q483110,LINK,stadium,,sandroacoelho,,,,,
startDate,LINK,equivProp,,P580,LINK,start time,,sandroacoelho,,,,,
startTime,LINK,equivProp,,P580,LINK,start time,,sandroacoelho,,,,,
startTime,LINK,exactMatch,,Q24575110,LINK,start time,,sandroacoelho,,,,,
State,LINK,equivClass,,Q107390,LINK,federated state,,sandroacoelho,,,,,
Store,LINK,equivClass,,Q213441,LINK,shop,,sandroacoelho,,,,,
subOrganization,LINK,equivProp,,P355,LINK,subsidiary,,,,sandroacoelho,,,
Substance,LINK,equivClass,,Q27166344,LINK,substance,,sandroacoelho,,,,,
SubwayStation,LINK,equivClass,,Q928830,LINK,metro station,,sandroacoelho,,,,,
Suite,LINK,equivClass,,Q1367530,LINK,Suite,,sandroacoelho,,,,,
SuperficialAnatomy,LINK,equivClass,,Q3545415,LINK,Superficial anatomy,,sandroacoelho,,,,,
SurgicalProcedure,LINK,equivClass,,Q15636229,LINK,surgical procedure,,sandroacoelho,,,,,
Synagogue,LINK,equivClass,,Q34627,LINK,synagogue,,sandroacoelho,,,,,
TattooParlor,LINK,equivClass,,Q27038997,LINK,tattoo parlor,,sandroacoelho,,,,,
TaxiStand,LINK,equivClass,,Q1395196,LINK,taxicab stand,,sandroacoelho,,,,,
telephone,LINK,equivProp,,P1329,LINK,phone number,,sandroacoelho,,,,,
TelevisionStation,LINK,equivClass,,Q1616075,LINK,television station,,sandroacoelho,,,,,
TennisComplex,LINK,equivClass,,Q13380226,LINK,tennis venue,,sandroacoelho,,,,,
Text,LINK,equivClass,,Q184754,LINK,string,,sandroacoelho,,,,,
TextDigitalDocument,LINK,equivClass,,Q86920,LINK,text file,,sandroacoelho,,,,,
TheaterGroup,LINK,equivClass,,Q2416217,LINK,theatre troupe,,sandroacoelho,,,,,
Thesis,LINK,equivClass,,Q1266946,LINK,thesis,,sandroacoelho,,,,,
Thing,LINK,equivClass,,Q17553950,LINK,object,,sandroacoeho,,,,,
Thing,LINK,equivClass,,Q35120,LINK,entity,,sandroacoelho,,,,,
tickerSymbol,LINK,equivProp,,P249,LINK,ticker symbol,,sandroacoelho,,,,,
Time,LINK,equivClass,,Q186885,LINK,timestamp,,sandroacoelho,,,,,
TouristAttraction,LINK,equivClass,,Q570116,LINK,tourist attraction,,sandroacoelho,,,,,
TouristInformationCenter,LINK,equivClass,,Q1587716,LINK,visitor center,,sandroacoelho,,,,,
ToyStore,LINK,equivClass,,Q1318959,LINK,Toy store,,sandroacoelho,,,,,
TrainStation,LINK,equivClass,,Q55488,LINK,train station,,sandroacoelho,,,,,
translator,LINK,equivProp,,P655,LINK,translator,,,sandroacoelho,,,,
translator,LINK,exactMatch,,Q333634,LINK,translator,,sandroacoelho,,,,,
TravelAgency,LINK,equivClass,,Q217107,LINK,travel agency,,sandroacoelho,,,,,
TVEpisode,LINK,equivClass,,Q21191270,LINK,TV series episode,,sandroacoelho,,,,,
TVSeries,LINK,equivClass,,Q3464665,LINK,TV series season,,sandroacoelho,,,,,
TVSeries,LINK,equivClass,,Q5398426,LINK,television series,,sandroacoelho,,,,,
URL,LINK,equivClass,,Q42253,LINK,Uniform Resource Locator,,sandroacoelho,,,,,
url,LINK,equivProp,,P2699,LINK,URL,,sandroacoelho,,,,,
url,LINK,equivProp,,P856,LINK,official website,,sandroacoelho,,,,,
URL,LINK,exactMatch,,Q42253,LINK,Uniform Resource Locator,,sandroacoelho,,,,,
url,LINK,exactMatch,,Q42253,LINK,Uniform Resource Locator,,sandroacoelho,,,,,
Vehicle,LINK,equivClass,,Q42889,LINK,vehicle,,sandroacoelho,,,,,
Vehicle,LINK,equivClass,,Q752870,LINK,motor vehicle,,,sandroacoelho,,"schema.org defines as a device that is designed or used to transport people or cargo over land, water, air, or through space while wikidata defines a self-propelled wheeled vehicle",,
Vein,LINK,equivClass,,Q9609,LINK,vein,,sandroacoelho,,,,,
Vessel,LINK,equivClass,,Q382386,LINK,vessel,,sandroacoelho,,,,,
VeterinaryCare,LINK,equivClass,,Q170201,LINK,veterinary medicine,,,sandroacoelho,,schema.org defines as a vet's office (place) when wikidata defines the professional service,,
video,LINK,equivProp,,P10,LINK,video,,sandroacoelho,,,,,
VideoGame,LINK,equivClass,,Q7889,LINK,video game,,sandroacoelho,,,,,
VideoGameSeries,LINK,equivClass,,Q7058673,LINK,video game series,,sandroacoelho,,,,,
VideoObject,LINK,equivClass,,Q34508,LINK,video,,,sandroacoelho,,schema.org defines as a video file when wikidata defines as a electronic medium for the recording,,
VisualArtwork,LINK,equivClass,,Q4502142,LINK,visual artwork,,sandroacoelho,,,,,
VitalSign,LINK,equivClass,,Q1067560,LINK,vital signs,,sandroacoelho,,,,,
Volcano,LINK,equivClass,,Q8072,LINK,volcano,,sandroacoelho,,,,,
volumeNumber,LINK,equivProp,,P478,LINK,volume,,sandroacoelho,,,,,
Waterfall,LINK,equivClass,,Q34038,LINK,waterfall,,sandroacoelho,,,,,
WebApplication,LINK,equivClass,,Q189210,LINK,web application,,sandroacoelho,,,,,
WebPage,LINK,equivClass,,Q36774,LINK,web page,,sandroacoelho,,,,,
WebSite,LINK,equivClass,,Q35127,LINK,website,,sandroacoelho,,,,,
width,LINK,equivProp,,P2049,LINK,width,,sandroacoelho,,,,,
WinAction,LINK,equivClass,,Q50000,LINK,victory,,ppkrauss,,sandroacoelho,schema.org defines victory in a competition while the definition in Wikidata is wide open... But military victory is valid for both.,,
Winery,LINK,equivClass,,Q156362,LINK,winery,,sandroacoelho,,,,,
wordCount,LINK,exactMatch,,Q8034324,LINK,word count,,sandroacoelho,,,,,
WorkersUnion,LINK,equivClass,,Q178790,LINK,trade union,,sandroacoelho,,,This definition is pending in Schema.org side,,
worksFor,LINK,equivProp,,P108,LINK,employer,,sandroacoelho,,,,,
Zoo,LINK,equivClass,,Q43501,LINK,zoo,,sandroacoelho,,,,,
FALSE,LINK,equivClass,,Q5432619,LINK,FALSE,,,sandroacoelho,,out of scope,,
TRUE,LINK,equivClass,,Q16751793,LINK,TRUE,,,sandroacoelho,,out of scope,,
