pLabel,p,equivclass,equivprop,sub,super
sculpture,http://www.wikidata.org/entity/Q860861,http://schema.org/Sculpture,,,
series,http://www.wikidata.org/entity/Q20937557,http://schema.org/Series,,,
recipe,http://www.wikidata.org/entity/Q219239,http://schema.org/Recipe,,,
mobile app,http://www.wikidata.org/entity/Q620615,http://schema.org/MobileApplication,,,
web application,http://www.wikidata.org/entity/Q189210,http://schema.org/WebApplication,,,
source code,http://www.wikidata.org/entity/Q128751,http://schema.org/SoftwareSourceCode,,,
television season,http://www.wikidata.org/entity/Q3464665,http://schema.org/TVSeason,,,
website,http://www.wikidata.org/entity/Q35127,http://schema.org/WebSite,,,
day of the week,http://www.wikidata.org/entity/Q41825,http://schema.org/DayOfWeek,,,
payment method,http://www.wikidata.org/entity/Q1912682,http://schema.org/PaymentMethod,,,
payment card,http://www.wikidata.org/entity/Q1436963,http://schema.org/PaymentCard,,,
credit card,http://www.wikidata.org/entity/Q161380,http://schema.org/CreditCard,,,
license,http://www.wikidata.org/entity/Q79719,http://schema.org/Permit,,,
value,http://www.wikidata.org/entity/Q614112,http://schema.org/Quantity,,,
duration,http://www.wikidata.org/entity/Q21886162,http://schema.org/Duration,,,
energy,http://www.wikidata.org/entity/Q11379,http://schema.org/Energy,,,
mass,http://www.wikidata.org/entity/Q11423,http://schema.org/Mass,,,
seat,http://www.wikidata.org/entity/Q2731419,http://pending.schema.org/Seat,,,
university,http://www.wikidata.org/entity/Q3918,http://schema.org/CollegeOrUniversity,,,
college,http://www.wikidata.org/entity/Q189004,http://schema.org/CollegeOrUniversity,,,
educational organization,http://www.wikidata.org/entity/Q5341295,http://schema.org/EducationalOrganization,,,
elementary school,http://www.wikidata.org/entity/Q20950067,http://schema.org/ElementarySchool,,,
Diet,http://www.wikidata.org/entity/Q26869695,http://schema.org/Diet,,,
atlas,http://www.wikidata.org/entity/Q162827,http://schema.org/Atlas,,,
has role,http://www.wikidata.org/entity/P2868,http://schema.org/Role,,,
role,http://www.wikidata.org/entity/Q214339,http://schema.org/Role,,,
address,http://www.wikidata.org/entity/Q319608,http://schema.org/PostalAddress,,,
collection,http://www.wikidata.org/entity/P195,http://schema.org/Collection,,,
collection,http://www.wikidata.org/entity/Q2668072,http://schema.org/Collection,,,
series of creative works,http://www.wikidata.org/entity/Q7725310,http://schema.org/CreativeWorkSeries,,,
motorcycle,http://www.wikidata.org/entity/Q34493,http://schema.org/Motorcycle,,,
audiobook,http://www.wikidata.org/entity/Q106833,http://schema.org/Audiobook,,,
chapter,http://www.wikidata.org/entity/Q1980247,http://schema.org/Chapter,,,
newspaper,http://www.wikidata.org/entity/Q11032,http://schema.org/Newspaper,,,
comic,http://www.wikidata.org/entity/Q1004,http://schema.org/ComicStory,,,
language,http://www.wikidata.org/entity/Q34770,http://schema.org/Language,,,
audio file,http://www.wikidata.org/entity/Q26987229,http://schema.org/AudioObject,,,
gas station,http://www.wikidata.org/entity/Q205495,http://schema.org/GasStation,,,
high school,http://www.wikidata.org/entity/Q9826,http://schema.org/HighSchool,,,
middle school,http://www.wikidata.org/entity/Q149566,http://schema.org/MiddleSchool,,,
preschool,http://www.wikidata.org/entity/Q1076052,http://schema.org/Preschool,,,
school,http://www.wikidata.org/entity/Q3914,http://schema.org/School,,,
government organization,http://www.wikidata.org/entity/Q2659904,http://schema.org/GovernmentOrganization,,,
