pLabel,p,equivclass,equivprop,sub,super
real estate broker,http://www.wikidata.org/entity/Q519076,http://schema.org/RealEstateAgent,,,
recycling center,http://www.wikidata.org/entity/Q27106436,http://schema.org/RecyclingCenter,,,
Self storage,http://www.wikidata.org/entity/Q401404,http://schema.org/SelfStorage,,,
shopping mall,http://www.wikidata.org/entity/Q11315,http://schema.org/ShoppingCenter,,,
bowling alley,http://www.wikidata.org/entity/Q27106471,http://schema.org/BowlingAlley,,,
golf course,http://www.wikidata.org/entity/Q1048525,http://schema.org/GolfCourse,,,
public swimming pool,http://www.wikidata.org/entity/Q27106886,http://schema.org/PublicSwimmingPool,,,
ski resort,http://www.wikidata.org/entity/Q130003,http://schema.org/SkiResort,,,
stadium,http://www.wikidata.org/entity/Q483110,http://schema.org/StadiumOrArena,,,
tennis venue,http://www.wikidata.org/entity/Q13380226,http://schema.org/TennisComplex,,,
shop,http://www.wikidata.org/entity/Q213441,http://schema.org/Store,,,
bookstore,http://www.wikidata.org/entity/Q200764,http://schema.org/BookStore,,,
florist,http://www.wikidata.org/entity/Q16735601,http://schema.org/Florist,,,
liquor store,http://www.wikidata.org/entity/Q2632011,http://schema.org/LiquorStore,,,
outlet store,http://www.wikidata.org/entity/Q76470,http://schema.org/OutletStore,,,
pawn shop,http://www.wikidata.org/entity/Q27108122,http://schema.org/PawnShop,,,
Pet store,http://www.wikidata.org/entity/Q220142,http://schema.org/PetStore,,,
Shoe store,http://www.wikidata.org/entity/Q7500021,http://schema.org/ShoeStore,,,
Toy store,http://www.wikidata.org/entity/Q1318959,http://schema.org/ToyStore,,,
television station,http://www.wikidata.org/entity/Q1616075,http://schema.org/TelevisionStation,,,
visitor center,http://www.wikidata.org/entity/Q1587716,http://schema.org/TouristInformationCenter,,,
travel agency,http://www.wikidata.org/entity/Q217107,http://schema.org/TravelAgency,,,
medical organization,http://www.wikidata.org/entity/Q4287745,http://schema.org/MedicalOrganization,,,
non-governmental organization,http://www.wikidata.org/entity/Q79913,http://schema.org/NGO,,,
sports organization,http://www.wikidata.org/entity/Q4438121,http://schema.org/SportsOrganization,,,
apartment,http://www.wikidata.org/entity/Q188507,http://schema.org/Apartment,,,
Campsite,http://www.wikidata.org/entity/Q832778,http://schema.org/CampingPitch,,,
distillery,http://www.wikidata.org/entity/Q1251750,http://pending.schema.org/Distillery,,,
house,http://www.wikidata.org/entity/Q3947,http://schema.org/House,,,
room,http://www.wikidata.org/entity/Q180516,http://schema.org/Room,,,
hotel room,http://www.wikidata.org/entity/Q23541360,http://schema.org/HotelRoom,,,
conference room,http://www.wikidata.org/entity/Q3469909,http://schema.org/MeetingRoom,,,
Suite,http://www.wikidata.org/entity/Q1367530,http://schema.org/Suite,,,
state,http://www.wikidata.org/entity/Q7275,http://schema.org/State,,,
public aquarium,http://www.wikidata.org/entity/Q2281788,http://schema.org/Aquarium,,,
beach,http://www.wikidata.org/entity/Q40080,http://schema.org/Beach,,,
bridge,http://www.wikidata.org/entity/Q12280,http://schema.org/Bridge,,,
bus station,http://www.wikidata.org/entity/Q494829,http://schema.org/BusStation,,,
bus stop,http://www.wikidata.org/entity/Q953806,http://schema.org/BusStop,,,
cemetery,http://www.wikidata.org/entity/Q39614,http://schema.org/Cemetery,,,
crematory,http://www.wikidata.org/entity/Q157570,http://schema.org/Crematorium,,,
event venue,http://www.wikidata.org/entity/Q18674739,http://schema.org/EventVenue,,,
government building,http://www.wikidata.org/entity/Q16831714,http://schema.org/GovernmentBuilding,,,
city hall,http://www.wikidata.org/entity/Q543654,http://schema.org/CityHall,,,
courthouse,http://www.wikidata.org/entity/Q1137809,http://schema.org/Courthouse,,,
military facility,http://www.wikidata.org/entity/Q18691599,http://schema.org/DefenceEstablishment,,,
embassy,http://www.wikidata.org/entity/Q3917681,http://schema.org/Embassy,,,
museum,http://www.wikidata.org/entity/Q33506,http://schema.org/Museum,,,
music venue,http://www.wikidata.org/entity/Q8719053,http://schema.org/MusicVenue,,,
park,http://www.wikidata.org/entity/Q22698,http://schema.org/Park,,,
parking facility,http://www.wikidata.org/entity/Q27119725,http://schema.org/ParkingFacility,,,
theater,http://www.wikidata.org/entity/Q24354,http://schema.org/PerformingArtsTheater,,,
mosque,http://www.wikidata.org/entity/Q32815,http://schema.org/Mosque,,,
synagogue,http://www.wikidata.org/entity/Q34627,http://schema.org/Synagogue,,,
Hindu temple,http://www.wikidata.org/entity/Q842402,http://schema.org/HinduTemple,,,
Buddhist temple,http://www.wikidata.org/entity/Q5393308,http://schema.org/BuddhistTemple,,,
Catholic church,http://www.wikidata.org/entity/Q1088552,http://schema.org/CatholicChurch,,,
playground,http://www.wikidata.org/entity/Q13607440,http://schema.org/Playground,,,
RV park,http://www.wikidata.org/entity/Q1424620,http://schema.org/RVPark,,,
metro station,http://www.wikidata.org/entity/Q928830,http://schema.org/SubwayStation,,,
taxicab stand,http://www.wikidata.org/entity/Q1395196,http://schema.org/TaxiStand,,,
railway station,http://www.wikidata.org/entity/Q55488,http://schema.org/TrainStation,,,
zoo,http://www.wikidata.org/entity/Q43501,http://schema.org/Zoo,,,
landform,http://www.wikidata.org/entity/Q271669,http://schema.org/Landform,,,
body of water,http://www.wikidata.org/entity/Q15324,http://schema.org/BodyOfWater,,,
canal,http://www.wikidata.org/entity/Q12284,http://schema.org/Canal,,,
ocean,http://www.wikidata.org/entity/Q9430,http://schema.org/OceanBodyOfWater,,,
pond,http://www.wikidata.org/entity/Q3253281,http://schema.org/Pond,,,
river,http://www.wikidata.org/entity/Q4022,http://schema.org/RiverBodyOfWater,,,
sea,http://www.wikidata.org/entity/Q165,http://schema.org/SeaBodyOfWater,,,
waterfall,http://www.wikidata.org/entity/Q34038,http://schema.org/Waterfall,,,
continent,http://www.wikidata.org/entity/Q5107,http://schema.org/Continent,,,
volcano,http://www.wikidata.org/entity/Q8072,http://schema.org/Volcano,,,
landmark,http://www.wikidata.org/entity/Q2319498,http://schema.org/LandmarksOrHistoricalBuildings,,,
residence,http://www.wikidata.org/entity/Q27150063,http://schema.org/Residence,,,
gated community,http://www.wikidata.org/entity/Q75848,http://schema.org/GatedResidenceCommunity,,,
tourist attraction,http://www.wikidata.org/entity/Q570116,http://schema.org/TouristAttraction,,,
